user_id,utc_time
242747,2015-04-19 01:52:24Z
898478,2015-04-19 01:52:24Z
207838,2015-04-19 01:47:29Z
3003216,2015-04-19 01:47:29Z
1733883,2015-04-19 01:47:29Z
1108397,2015-04-19 01:47:29Z
3121310,2015-04-19 01:47:29Z
416574,2015-04-19 01:47:29Z
675951,2015-04-19 01:47:29Z
1357638,2015-04-19 01:47:29Z
1344509,2015-04-19 01:47:29Z
2589776,2015-04-19 01:47:29Z
1530508,2015-04-19 01:47:29Z
709671,2015-04-19 01:47:29Z
411902,2015-04-19 01:47:29Z
3517452,2015-04-19 01:47:29Z
1812436,2015-04-19 01:47:29Z
1880191,2015-04-19 01:40:03Z
238374,2015-04-19 01:40:03Z
3263867,2015-04-19 01:40:03Z
615025,2015-04-19 01:40:03Z
3142238,2015-04-19 01:40:03Z
4187033,2015-04-19 01:40:03Z
2285592,2015-04-19 01:35:04Z
1539293,2015-04-19 01:35:04Z
2726543,2015-04-19 01:35:04Z
1547274,2015-04-19 01:35:04Z
636859,2015-04-19 01:35:04Z
746758,2015-04-19 01:30:04Z
616559,2015-04-19 01:30:04Z
500584,2015-04-19 01:30:04Z
1391376,2015-04-19 01:30:04Z
989691,2015-04-19 01:30:04Z
3017499,2015-04-19 01:30:04Z
1034657,2015-04-19 01:30:04Z
4322512,2015-04-19 01:30:04Z
725709,2015-04-19 01:30:04Z
213489,2015-04-19 01:30:04Z
878882,2015-04-19 01:25:04Z
106783,2015-04-19 01:25:04Z
25704,2015-04-19 01:25:04Z
1424450,2015-04-19 01:25:04Z
1138696,2015-04-19 01:25:04Z
2619107,2015-04-19 01:25:04Z
3540074,2015-04-19 01:25:04Z
194732,2015-04-19 01:20:06Z
1832800,2015-04-19 01:20:06Z
254307,2015-04-19 01:20:06Z
2844582,2015-04-19 01:20:06Z
1202500,2015-04-19 01:15:04Z
1026017,2015-04-19 01:15:04Z
655183,2015-04-19 01:15:04Z
1100135,2015-04-19 01:15:04Z
669493,2015-04-19 01:15:04Z
826521,2015-04-19 01:15:04Z
1594980,2015-04-19 01:15:04Z
535515,2015-04-19 01:15:04Z
2072908,2015-04-19 01:15:04Z
973380,2015-04-19 01:15:04Z
1731823,2015-04-19 01:15:04Z
3675675,2015-04-19 01:15:04Z
40410,2015-04-19 01:15:04Z
1102945,2015-04-19 01:05:26Z
524028,2015-04-19 01:05:26Z
1013679,2015-04-19 01:05:26Z
154157,2015-04-19 01:05:26Z
2097403,2015-04-19 01:05:26Z
3648187,2015-04-19 01:05:26Z
61378,2015-04-19 01:00:24Z
2665238,2015-04-19 01:00:24Z
300908,2015-04-19 01:00:24Z
1843673,2015-04-19 00:55:14Z
1203394,2015-04-19 00:55:14Z
841477,2015-04-19 00:55:14Z
1997767,2015-04-19 00:55:14Z
730346,2015-04-19 00:55:14Z
2166798,2015-04-19 00:55:14Z
3753754,2015-04-19 00:55:14Z
129270,2015-04-19 00:55:14Z
2962487,2015-04-19 00:50:09Z
1103236,2015-04-19 00:50:09Z
3785314,2015-04-19 00:50:09Z
733721,2015-04-19 00:50:09Z
623735,2015-04-19 00:50:09Z
757762,2015-04-19 00:50:09Z
1304462,2015-04-19 00:50:09Z
1914652,2015-04-19 00:45:14Z
4020264,2015-04-19 00:45:14Z
1439720,2015-04-19 00:45:14Z
401203,2015-04-19 00:45:14Z
1404425,2015-04-19 00:45:14Z
737735,2015-04-19 00:40:14Z
428147,2015-04-19 00:40:14Z
534109,2015-04-19 00:40:14Z
876001,2015-04-19 00:40:14Z
77,2015-04-19 00:40:14Z
209336,2015-04-19 00:40:14Z
1540902,2015-04-19 00:40:14Z
1754020,2015-04-19 00:40:14Z
810400,2015-04-19 00:40:14Z
4195328,2015-04-19 00:40:14Z
538921,2015-04-19 00:31:06Z
763076,2015-04-19 00:31:06Z
967100,2015-04-19 00:31:06Z
776686,2015-04-19 00:31:06Z
1635072,2015-04-19 00:31:06Z
673958,2015-04-19 00:31:06Z
1172265,2015-04-19 00:31:06Z
1092970,2015-04-19 00:31:06Z
1493954,2015-04-19 00:31:06Z
1373822,2015-04-19 00:26:14Z
712603,2015-04-19 00:26:14Z
1633848,2015-04-19 00:26:14Z
526189,2015-04-19 00:26:14Z
1285303,2015-04-19 00:21:09Z
651952,2015-04-19 00:21:09Z
2989995,2015-04-19 00:21:09Z
2573395,2015-04-19 00:21:09Z
447876,2015-04-19 00:21:09Z
3023622,2015-04-19 00:21:09Z
1414639,2015-04-19 00:21:09Z
433950,2015-04-19 00:21:09Z
3443784,2015-04-19 00:21:09Z
1198772,2015-04-19 00:16:07Z
1068126,2015-04-19 00:16:07Z
457237,2015-04-19 00:16:07Z
1288198,2015-04-19 00:16:07Z
93270,2015-04-19 00:16:07Z
4374511,2015-04-19 00:16:07Z
4544442,2015-04-19 00:16:07Z
31677,2015-04-19 00:16:07Z
431359,2015-04-19 00:11:07Z
40948,2015-04-19 00:11:07Z
1881162,2015-04-19 00:11:07Z
2392087,2015-04-19 00:11:07Z
3159597,2015-04-19 00:11:07Z
1384913,2015-04-19 00:11:07Z
1985423,2015-04-19 00:06:07Z
810658,2015-04-19 00:06:07Z
1617144,2015-04-19 00:06:07Z
1950327,2015-04-19 00:06:07Z
1245463,2015-04-19 00:00:45Z
768795,2015-04-19 00:00:45Z
1810941,2015-04-19 00:00:45Z
3787836,2015-04-19 00:00:45Z
1595578,2015-04-19 00:00:45Z
471255,2015-04-19 00:00:45Z
548020,2015-04-19 00:00:45Z
4151794,2015-04-19 00:00:45Z
774923,2015-04-19 00:00:45Z
622140,2015-04-18 23:55:47Z
3323736,2015-04-18 23:55:47Z
1699945,2015-04-18 23:55:47Z
1348344,2015-04-18 23:55:47Z
3578672,2015-04-18 23:55:47Z
679550,2015-04-18 23:55:47Z
1394085,2015-04-18 23:50:44Z
396429,2015-04-18 23:50:44Z
1648708,2015-04-18 23:50:44Z
3667171,2015-04-18 23:50:44Z
1638010,2015-04-18 23:50:44Z
718721,2015-04-18 23:50:44Z
1217087,2015-04-18 23:50:44Z
408863,2015-04-18 23:45:45Z
1466168,2015-04-18 23:45:45Z
986886,2015-04-18 23:45:45Z
1813580,2015-04-18 23:45:45Z
797767,2015-04-18 23:45:45Z
2014619,2015-04-18 23:40:44Z
3761982,2015-04-18 23:40:44Z
10431,2015-04-18 23:40:44Z
15609,2015-04-18 23:40:44Z
1336150,2015-04-18 23:40:44Z
1472317,2015-04-18 23:40:44Z
1276306,2015-04-18 23:40:44Z
3618671,2015-04-18 23:40:44Z
2000726,2015-04-18 23:40:44Z
626609,2015-04-18 23:40:44Z
4098121,2015-04-18 23:40:44Z
695615,2015-04-18 23:40:44Z
2188862,2015-04-18 23:35:51Z
916365,2015-04-18 23:35:51Z
2616185,2015-04-18 23:35:51Z
510036,2015-04-18 23:35:51Z
1318213,2015-04-18 23:35:51Z
946112,2015-04-18 23:35:51Z
2255871,2015-04-18 23:35:51Z
2252889,2015-04-18 23:35:51Z
886994,2015-04-18 23:35:51Z
94354,2015-04-18 23:35:51Z
797999,2015-04-18 23:29:51Z
2969719,2015-04-18 23:29:51Z
114203,2015-04-18 23:29:51Z
396583,2015-04-18 23:29:51Z
209585,2015-04-18 23:29:51Z
525179,2015-04-18 23:29:51Z
8999,2015-04-18 23:29:51Z
1701590,2015-04-18 23:29:51Z
224279,2015-04-18 23:29:51Z
711901,2015-04-18 23:29:51Z
822978,2015-04-18 23:24:52Z
1108263,2015-04-18 23:24:52Z
552993,2015-04-18 23:24:52Z
1132499,2015-04-18 23:24:52Z
3396598,2015-04-18 23:24:52Z
1928380,2015-04-18 23:24:52Z
121371,2015-04-18 23:24:52Z
1683718,2015-04-18 23:24:52Z
2158002,2015-04-18 23:24:52Z
1315498,2015-04-18 23:19:51Z
2240409,2015-04-18 23:19:51Z
3856666,2015-04-18 23:19:51Z
2580231,2015-04-18 23:19:51Z
1832568,2015-04-18 23:19:51Z
1071793,2015-04-18 23:19:51Z
1511178,2015-04-18 23:19:51Z
1266242,2015-04-18 23:19:51Z
981598,2015-04-18 23:14:51Z
1018177,2015-04-18 23:14:51Z
4505712,2015-04-18 23:14:51Z
515674,2015-04-18 23:14:51Z
1359672,2015-04-18 23:14:51Z
732419,2015-04-18 23:14:51Z
796814,2015-04-18 23:14:51Z
112397,2015-04-18 23:14:51Z
1244610,2015-04-18 23:14:51Z
1221465,2015-04-18 23:14:51Z
9903,2015-04-18 23:14:51Z
893643,2015-04-18 23:14:51Z
311534,2015-04-18 23:14:51Z
3665707,2015-04-18 23:14:51Z
1875124,2015-04-18 23:14:51Z
65424,2015-04-18 23:09:51Z
714143,2015-04-18 23:09:51Z
570503,2015-04-18 23:09:51Z
2127508,2015-04-18 23:09:51Z
798549,2015-04-18 23:09:51Z
2749095,2015-04-18 23:04:53Z
1946395,2015-04-18 23:04:53Z
438154,2015-04-18 23:04:53Z
111433,2015-04-18 23:04:53Z
2173453,2015-04-18 23:04:53Z
2932698,2015-04-18 22:59:27Z
530681,2015-04-18 22:59:27Z
1377864,2015-04-18 22:59:27Z
1711374,2015-04-18 22:59:27Z
1821566,2015-04-18 22:59:27Z
352841,2015-04-18 22:59:27Z
312072,2015-04-18 22:59:27Z
2369067,2015-04-18 22:59:27Z
1358722,2015-04-18 22:59:27Z
3858806,2015-04-18 22:59:27Z
1571756,2015-04-18 22:54:27Z
967770,2015-04-18 22:54:27Z
1102535,2015-04-18 22:54:27Z
3509327,2015-04-18 22:54:27Z
3011009,2015-04-18 22:54:27Z
1675048,2015-04-18 22:54:27Z
1275256,2015-04-18 22:54:27Z
830125,2015-04-18 22:54:27Z
80577,2015-04-18 22:49:27Z
3022126,2015-04-18 22:49:27Z
1519058,2015-04-18 22:49:27Z
221851,2015-04-18 22:49:27Z
1692342,2015-04-18 22:49:27Z
1335916,2015-04-18 22:49:27Z
2573989,2015-04-18 22:49:27Z
1698431,2015-04-18 22:44:27Z
1718377,2015-04-18 22:44:27Z
833134,2015-04-18 22:44:27Z
2207306,2015-04-18 22:44:27Z
1112142,2015-04-18 22:44:27Z
613483,2015-04-18 22:44:27Z
1437550,2015-04-18 22:44:27Z
499528,2015-04-18 22:44:27Z
163640,2015-04-18 22:44:27Z
4394418,2015-04-18 22:44:27Z
150740,2015-04-18 22:44:27Z
687021,2015-04-18 22:44:27Z
3658753,2015-04-18 22:39:26Z
3594595,2015-04-18 22:39:26Z
2363712,2015-04-18 22:39:26Z
2165759,2015-04-18 22:39:26Z
709426,2015-04-18 22:39:26Z
540644,2015-04-18 22:39:26Z
700471,2015-04-18 22:39:26Z
868838,2015-04-18 22:39:26Z
1763363,2015-04-18 22:39:26Z
3814290,2015-04-18 22:39:26Z
1062281,2015-04-18 22:34:29Z
1749822,2015-04-18 22:34:29Z
435035,2015-04-18 22:34:29Z
616119,2015-04-18 22:34:29Z
1101823,2015-04-18 22:34:29Z
1386873,2015-04-18 22:34:29Z
346550,2015-04-18 22:34:29Z
879167,2015-04-18 22:34:29Z
292039,2015-04-18 22:34:29Z
1104902,2015-04-18 22:34:29Z
83381,2015-04-18 22:34:29Z
4235784,2015-04-18 22:25:56Z
1659240,2015-04-18 22:25:56Z
704817,2015-04-18 22:25:56Z
366256,2015-04-18 22:25:56Z
679898,2015-04-18 22:25:56Z
752979,2015-04-18 22:25:56Z
4565279,2015-04-18 22:25:56Z
619673,2015-04-18 22:25:56Z
1793911,2015-04-18 22:25:56Z
1947216,2015-04-18 22:25:56Z
119071,2015-04-18 22:25:56Z
359226,2015-04-18 22:25:56Z
1478381,2015-04-18 22:20:56Z
891194,2015-04-18 22:20:56Z
701745,2015-04-18 22:20:56Z
717181,2015-04-18 22:20:56Z
2891365,2015-04-18 22:20:56Z
1368628,2015-04-18 22:20:56Z
653021,2015-04-18 22:20:56Z
992243,2015-04-18 22:20:56Z
186099,2015-04-18 22:20:56Z
184977,2015-04-18 22:20:56Z
3573772,2015-04-18 22:20:56Z
581351,2015-04-18 22:15:54Z
2365792,2015-04-18 22:15:54Z
779092,2015-04-18 22:15:54Z
1386166,2015-04-18 22:10:56Z
38368,2015-04-18 22:10:56Z
3952913,2015-04-18 22:10:56Z
4056210,2015-04-18 22:10:56Z
3033437,2015-04-18 22:10:56Z
535935,2015-04-18 22:10:56Z
3404638,2015-04-18 22:10:56Z
599603,2015-04-18 22:10:56Z
1861047,2015-04-18 22:10:56Z
903875,2015-04-18 22:10:56Z
547144,2015-04-18 22:10:56Z
137259,2015-04-18 22:10:56Z
4140597,2015-04-18 22:10:56Z
1345115,2015-04-18 22:10:56Z
2660176,2015-04-18 22:10:56Z
571879,2015-04-18 22:05:55Z
401450,2015-04-18 22:05:55Z
1021725,2015-04-18 22:05:55Z
686223,2015-04-18 22:05:55Z
3460555,2015-04-18 22:05:55Z
2346961,2015-04-18 22:05:55Z
3908097,2015-04-18 22:05:55Z
3257288,2015-04-18 22:05:55Z
1880810,2015-04-18 22:05:55Z
1272717,2015-04-18 22:05:55Z
4170582,2015-04-18 22:05:55Z
1164919,2015-04-18 22:05:55Z
460845,2015-04-18 22:05:55Z
1361581,2015-04-18 22:05:55Z
2558778,2015-04-18 22:05:55Z
461989,2015-04-18 22:05:55Z
1726419,2015-04-18 22:05:55Z
1596786,2015-04-18 22:05:55Z
608692,2015-04-18 22:05:55Z
2316235,2015-04-18 22:05:55Z
17602,2015-04-18 22:00:57Z
241314,2015-04-18 22:00:57Z
4577493,2015-04-18 22:00:57Z
917476,2015-04-18 22:00:57Z
1821571,2015-04-18 22:00:57Z
1529734,2015-04-18 22:00:57Z
139637,2015-04-18 22:00:57Z
80761,2015-04-18 22:00:57Z
425823,2015-04-18 22:00:57Z
397786,2015-04-18 22:00:57Z
1007991,2015-04-18 22:00:57Z
1989265,2015-04-18 22:00:57Z
7122,2015-04-18 22:00:57Z
1920232,2015-04-18 22:00:57Z
1758558,2015-04-18 22:00:57Z
245376,2015-04-18 22:00:57Z
1151228,2015-04-18 22:00:57Z
1717259,2015-04-18 22:00:57Z
676877,2015-04-18 22:00:57Z
4393083,2015-04-18 22:00:57Z
1429494,2015-04-18 22:00:57Z
1523120,2015-04-18 22:00:57Z
1677299,2015-04-18 22:00:57Z
965258,2015-04-18 22:00:57Z
1183125,2015-04-18 22:00:57Z
2440262,2015-04-18 22:00:57Z
842218,2015-04-18 22:00:57Z
1228481,2015-04-18 21:48:40Z
2211479,2015-04-18 21:48:40Z
422842,2015-04-18 21:48:40Z
482853,2015-04-18 21:48:40Z
151191,2015-04-18 21:48:40Z
2096538,2015-04-18 21:48:40Z
689144,2015-04-18 21:48:40Z
1896761,2015-04-18 21:48:40Z
1431067,2015-04-18 21:48:40Z
2610048,2015-04-18 21:48:40Z
1501127,2015-04-18 21:48:40Z
2780360,2015-04-18 21:48:40Z
1340389,2015-04-18 21:48:40Z
2371073,2015-04-18 21:43:41Z
1577607,2015-04-18 21:43:41Z
1458030,2015-04-18 21:43:41Z
772715,2015-04-18 21:43:41Z
2816199,2015-04-18 21:43:41Z
589655,2015-04-18 21:43:41Z
133754,2015-04-18 21:43:41Z
2698266,2015-04-18 21:43:41Z
1849260,2015-04-18 21:43:41Z
406921,2015-04-18 21:43:41Z
13673,2015-04-18 21:43:41Z
555014,2015-04-18 21:38:39Z
483113,2015-04-18 21:38:39Z
79485,2015-04-18 21:38:39Z
219971,2015-04-18 21:38:39Z
3301488,2015-04-18 21:38:39Z
1334771,2015-04-18 21:38:39Z
25814,2015-04-18 21:38:39Z
713797,2015-04-18 21:38:39Z
3146716,2015-04-18 21:38:39Z
2640551,2015-04-18 21:38:39Z
3558475,2015-04-18 21:33:38Z
2793318,2015-04-18 21:33:38Z
1261162,2015-04-18 21:33:38Z
2106228,2015-04-18 21:33:38Z
805773,2015-04-18 21:33:38Z
1142581,2015-04-18 21:33:38Z
558021,2015-04-18 21:33:38Z
1563935,2015-04-18 21:33:38Z
3027225,2015-04-18 21:28:39Z
1960938,2015-04-18 21:28:39Z
1117415,2015-04-18 21:28:39Z
3426025,2015-04-18 21:28:39Z
2141972,2015-04-18 21:28:39Z
303187,2015-04-18 21:28:39Z
2091518,2015-04-18 21:28:39Z
2171120,2015-04-18 21:28:39Z
1040855,2015-04-18 21:28:39Z
2105039,2015-04-18 21:28:39Z
2746518,2015-04-18 21:28:39Z
602472,2015-04-18 21:28:39Z
3988732,2015-04-18 21:28:39Z
170781,2015-04-18 21:28:39Z
364977,2015-04-18 21:28:39Z
1737957,2015-04-18 21:28:39Z
568844,2015-04-18 21:28:39Z
408390,2015-04-18 21:28:39Z
1056795,2015-04-18 21:28:39Z
2054398,2015-04-18 21:28:39Z
2123487,2015-04-18 21:23:38Z
2245646,2015-04-18 21:23:38Z
2399861,2015-04-18 21:23:38Z
982238,2015-04-18 21:23:38Z
318317,2015-04-18 21:23:38Z
1386703,2015-04-18 21:23:38Z
2421916,2015-04-18 21:23:38Z
395255,2015-04-18 21:23:38Z
4537473,2015-04-18 21:23:38Z
1348187,2015-04-18 21:23:38Z
1381709,2015-04-18 21:23:38Z
1364685,2015-04-18 21:23:38Z
2285184,2015-04-18 21:23:38Z
2329125,2015-04-18 21:23:38Z
2013672,2015-04-18 21:23:38Z
3816068,2015-04-18 21:23:38Z
2138659,2015-04-18 21:23:38Z
7850,2015-04-18 21:23:38Z
1144157,2015-04-18 21:23:38Z
1480939,2015-04-18 21:16:24Z
2278346,2015-04-18 21:16:24Z
1753596,2015-04-18 21:16:24Z
250168,2015-04-18 21:16:24Z
160050,2015-04-18 21:16:24Z
195215,2015-04-18 21:16:24Z
74022,2015-04-18 21:16:24Z
563161,2015-04-18 21:16:24Z
1247078,2015-04-18 21:16:24Z
2427614,2015-04-18 21:16:24Z
617054,2015-04-18 21:16:24Z
1480518,2015-04-18 21:16:24Z
474569,2015-04-18 21:16:24Z
222163,2015-04-18 21:11:25Z
543320,2015-04-18 21:11:25Z
1574059,2015-04-18 21:11:25Z
125123,2015-04-18 21:11:25Z
335705,2015-04-18 21:11:25Z
220272,2015-04-18 21:11:25Z
